job_title,company_name,location,salary,job_type,experience_required,education_required,skills_required,job_description,posted_date,source
Junior Data Scientist,Tanger Med Port,Mohammedia,14700 MAD/month,Full-time,1-3 years,PhD,"Machine Learning, Python, Tableau, Data Analysis",Exciting opportunity for a Junior Data Scientist in Mohammedia.,2025-11-17,Generated
Principal Automotive Engineer,Somaca,Kenitra,20600 MAD/month,Full-time,8+ years,Bachelor's Degree,"Manufacturing, CATIA, Problem Solving, Materials Science",Seeking an experienced Principal Automotive Engineer for innovative projects.,2025-12-10,Generated
Training Specialist,Shell Morocco,Khouribga,13400 MAD/month,Full-time,3-5 years,Master's Degree,"Communication, Presentation Skills, Training & Development, Evaluation, Instructional Design, Needs Assessment",Great opportunity for career growth as a Training Specialist.,2025-11-12,Generated
Technical Manager,Nexans Morocco,El Jadida,24900 MAD/month,Full-time,10+ years,Master's Degree,"Project Management, Leadership, Agile, Mentoring",Seeking an experienced Technical Manager for innovative projects.,2025-11-13,Generated
Electronics Technician,Shell Morocco,Mohammedia,6400 MAD/month,Part-time,1-3 years,Bachelor's Degree,"Embedded Systems, Testing, Soldering, Electronics",Exciting opportunity for a Electronics Technician in Mohammedia.,2025-11-29,Generated
Principal Electronics Technician,GE Aviation Morocco,Marrakech,25500 MAD/month,Full-time,5-8 years,Bachelor's Degree,"Electronics, Circuit Analysis, Technical Documentation, Embedded Systems, Multimeter",Great opportunity for career growth as a Principal Electronics Technician.,2025-12-19,Generated
IT Technician,Sitel Morocco,Beni Mellal,5100 MAD/month,Part-time,2-5 years,Diploma,"Active Directory, Maintenance, Installation, Help Desk, Windows, Troubleshooting",Great opportunity for career growth as a IT Technician.,2025-12-16,Generated
Lab Technician,Vivo Energy,El Jadida,9300 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Testing, Equipment Calibration, Safety Procedures, Data Analysis",Exciting opportunity for a Lab Technician in El Jadida.,2025-12-03,Generated
Staff Project Manager,Fujikura Morocco,Tangier,10200 MAD/month,Part-time,5-8 years,Bachelor's Degree,"Communication, PMP, Risk Management, Leadership, Stakeholder Management, MS Project",Exciting opportunity for a Staff Project Manager in Tangier.,2025-12-02,Generated
Junior Project Manager,Inetum Morocco,Marrakech,12200 MAD/month,Full-time,0-2 years,Master's Degree,"Stakeholder Management, Communication, Leadership, Project Management",Great opportunity for career growth as a Junior Project Manager.,2025-11-16,Generated
Staff Frontend Developer,Niji Morocco,Rabat,50400 MAD/month,Full-time,5-8 years,Bachelor's Degree,"HTML, Angular, JavaScript, React, Vue.js, UI/UX",Seeking an experienced Staff Frontend Developer for innovative projects.,2025-12-15,Generated
IT Technician,EY Morocco,Beni Mellal,9400 MAD/month,Full-time,2-4 years,Bachelor's Degree,"Maintenance, Active Directory, Help Desk, Windows, Linux, Hardware",Exciting opportunity for a IT Technician in Beni Mellal.,2025-12-21,Generated
Lead Technical Manager,Zodiac Aerospace,Tangier,8500 MAD/month,Part-time,8+ years,Bachelor's Degree,"Communication, Mentoring, Budgeting, Project Management, Agile, Technical Strategy",Great opportunity for career growth as a Lead Technical Manager.,2025-11-25,Generated
Junior Chemical Engineer,Maroc Telecom,Kenitra,9000 MAD/month,Full-time,0-1 years,Bachelor's Degree,"Quality Control, Process Simulation, Safety Management, Troubleshooting, Materials Science, Chemical Processes",Seeking an experienced Junior Chemical Engineer for innovative projects.,2025-12-15,Generated
Electrical Engineer,Lesieur Cristal,Meknes,9800 MAD/month,Internship,3-5 years,Bachelor's Degree,"Power Systems, Electrical Safety, AutoCAD Electrical, Electrical Design",We are looking for a talented Electrical Engineer to join our growing team.,2025-12-26,Generated
Senior Sales Engineer,Afriquia,Fes,12600 MAD/month,Internship,5+ years,Master's Degree,"Technical Sales, Negotiation, Presentations, Client Relationship, CRM, Communication",Join our dynamic team as a Senior Sales Engineer.,2025-12-14,Generated
Database Administrator,CTM Morocco,Safi,12100 MAD/month,Full-time,2-4 years,Master's Degree,"Backup & Recovery, Security, PostgreSQL, Monitoring",Exciting opportunity for a Database Administrator in Safi.,2025-12-23,Generated
Principal Data Analyst,Zodiac Aerospace,Marrakech,18500 MAD/month,Full-time,8+ years,Master's Degree,"Power BI, Excel, SQL, Statistics, Python",Seeking an experienced Principal Data Analyst for innovative projects.,2025-12-11,Generated
Backend Developer,Maroc Telecom,El Jadida,12900 MAD/month,Internship,2-5 years,Master's Degree,"Docker, Git, Microservices, REST API, Java, PostgreSQL",Seeking an experienced Backend Developer for innovative projects.,2025-12-03,Generated
Graphic Designer,Bombardier Aerospace,Mohammedia,15600 MAD/month,Contract,3-5 years,Bachelor's Degree,"Branding, Graphic Design, Layout Design, Visual Communication, Creative Thinking",Join our dynamic team as a Graphic Designer.,2025-12-14,Generated
Graphic Designer,Aptiv Morocco,Rabat,13500 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Creative Thinking, Visual Communication, Layout Design, Typography, Graphic Design",Join our dynamic team as a Graphic Designer.,2025-12-16,Generated
Product Designer,Thales Morocco,Tetouan,12400 MAD/month,Full-time,2-4 years,Bachelor's Degree,"Wireframing, UX Design, Product Design, Design Systems, Usability Testing, Figma",We are looking for a talented Product Designer to join our growing team.,2025-12-27,Generated
System Administrator,LafargeHolcim Morocco,El Jadida,16600 MAD/month,Contract,3-5 years,Bachelor's Degree,"PowerShell, Bash, Monitoring, Backup",We are looking for a talented System Administrator to join our growing team.,2025-12-20,Generated
Staff IT Support Specialist,CTM Morocco,Meknes,30200 MAD/month,Full-time,5-8 years,Bachelor's Degree,"Hardware, Technical Support, Troubleshooting, Customer Service",Great opportunity for career growth as a Staff IT Support Specialist.,2025-12-03,Generated
Principal Cloud Engineer,ZTE Morocco,Tangier,50200 MAD/month,Part-time,8+ years,Bachelor's Degree,"Kubernetes, Networking, Azure, Docker",Exciting opportunity for a Principal Cloud Engineer in Tangier.,2025-12-06,Generated
Staff Frontend Developer,Boeing Morocco,Meknes,23500 MAD/month,Internship,8+ years,Master's Degree,"HTML, TypeScript, Vue.js, JavaScript, React",Exciting opportunity for a Staff Frontend Developer in Meknes.,2025-11-22,Generated
Junior Industrial Engineer,TotalEnergies Morocco,Beni Mellal,10700 MAD/month,Contract,0-1 years,Bachelor's Degree,"Quality Control, Lean Manufacturing, Production Planning, Cost Analysis, AutoCAD, Project Management",Seeking an experienced Junior Industrial Engineer for innovative projects.,2025-11-16,Generated
IT Support Specialist,TotalEnergies Morocco,Tangier,11800 MAD/month,Full-time,3-5 years,Master's Degree,"Technical Support, Troubleshooting, Ticketing Systems, Hardware",Great opportunity for career growth as a IT Support Specialist.,2025-12-02,Generated
Senior Help Desk Analyst,CIH Bank,Safi,22000 MAD/month,Full-time,8+ years,Master's Degree,"Ticketing Systems, Windows, Documentation, Help Desk, Troubleshooting",Seeking an experienced Senior Help Desk Analyst for innovative projects.,2025-12-04,Generated
Lead Mobile Developer,CGI Morocco,Casablanca,25200 MAD/month,Full-time,8+ years,Master's Degree,"Android, REST API, Swift, Git, React Native, iOS",Exciting opportunity for a Lead Mobile Developer in Casablanca.,2025-12-23,Generated
Full Stack Developer,Oracle Morocco,Casablanca,23500 MAD/month,Full-time,2-5 years,Bachelor's Degree,"JavaScript, Git, Docker, MongoDB, SQL",Exciting opportunity for a Full Stack Developer in Casablanca.,2025-11-15,Generated
Staff Chemical Engineer,ABB Morocco,Rabat,21800 MAD/month,Full-time,8+ years,Bachelor's Degree,"Plant Design, Chemical Processes, Quality Control, Process Simulation, Safety Management, Materials Science",Seeking an experienced Staff Chemical Engineer for innovative projects.,2025-11-01,Generated
System Administrator,Attijariwafa Bank,Agadir,15500 MAD/month,Contract,2-4 years,Master's Degree,"Backup, Networking, Linux, Windows Server, PowerShell",Join our dynamic team as a System Administrator.,2025-11-20,Generated
Chemical Engineer,Unilever Morocco,Safi,11200 MAD/month,Internship,3-5 years,Master's Degree,"Troubleshooting, Chemical Processes, Process Engineering, Safety Management, Process Simulation, Plant Design",Great opportunity for career growth as a Chemical Engineer.,2025-11-30,Generated
Lead Technical Manager,Altran Morocco,Oujda,24600 MAD/month,Contract,5-8 years,Master's Degree,"System Architecture, Budgeting, Mentoring, Project Management",Great opportunity for career growth as a Lead Technical Manager.,2025-12-25,Generated
Principal Civil Engineer,Faurecia Morocco,Beni Mellal,16300 MAD/month,Full-time,5-8 years,Master's Degree,"Cost Estimation, Building Codes, Site Supervision, AutoCAD",Great opportunity for career growth as a Principal Civil Engineer.,2025-12-14,Generated
Account Manager,Microsoft Morocco,Kenitra,15500 MAD/month,Full-time,5+ years,Bachelor's Degree,"Account Management, Strategic Planning, Upselling, Client Relations, CRM",Join our dynamic team as a Account Manager.,2025-10-31,Generated
Mobile Developer,Safran Morocco,Fes,18700 MAD/month,Full-time,2-4 years,Master's Degree,"iOS, Android, Swift, Mobile UI, React Native",We are looking for a talented Mobile Developer to join our growing team.,2025-12-07,Generated
Principal Systems Analyst,Intelcia,Meknes,17600 MAD/month,Contract,8+ years,Master's Degree,"Business Process Analysis, Technical Writing, UML, Documentation",Seeking an experienced Principal Systems Analyst for innovative projects.,2025-11-15,Generated
Principal IT Support Specialist,CIH Bank,Kenitra,10600 MAD/month,Internship,8+ years,Master's Degree,"Remote Support, Technical Support, Windows, Active Directory, Customer Service",Exciting opportunity for a Principal IT Support Specialist in Kenitra.,2025-11-06,Generated
Principal Chemical Engineer,BMCI,Khouribga,85700 MAD/month,Contract,10+ years,Master's Degree,"Troubleshooting, Materials Science, Process Simulation, Quality Control",Great opportunity for career growth as a Principal Chemical Engineer.,2025-12-19,Generated
UX/UI Designer,Atlanta Assurances,Rabat,18000 MAD/month,Full-time,3-5 years,Bachelor's Degree,"UI Design, Wireframing, Responsive Design, Design Thinking",Great opportunity for career growth as a UX/UI Designer.,2025-12-02,Generated
Junior Quality Engineer,Valeo Morocco,Oujda,6400 MAD/month,Internship,1-3 years,Master's Degree,"Quality Control, Statistical Analysis, Testing, Quality Management",We are looking for a talented Junior Quality Engineer to join our growing team.,2025-12-30,Generated
Senior Chemical Engineer,SMIT,Beni Mellal,33800 MAD/month,Full-time,8+ years,Master's Degree,"Process Simulation, Materials Science, Process Engineering, Safety Management, Chemical Processes, Plant Design",Exciting opportunity for a Senior Chemical Engineer in Beni Mellal.,2025-11-05,Generated
Training Specialist,Leoni Morocco,Marrakech,14800 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Facilitation, Instructional Design, Communication, Evaluation, Presentation Skills, Needs Assessment",Seeking an experienced Training Specialist for innovative projects.,2025-11-02,Generated
System Administrator,Lear Corporation,El Jadida,11100 MAD/month,Internship,3-5 years,Master's Degree,"VMware, Windows Server, Networking, Backup, Active Directory",Great opportunity for career growth as a System Administrator.,2025-11-03,Generated
Junior Network Engineer,Oliver Wyman,Rabat,14500 MAD/month,Contract,0-1 years,Bachelor's Degree,"Network Security, Troubleshooting, VPN, Switching, Firewall",Join our dynamic team as a Junior Network Engineer.,2025-10-31,Generated
Quality Engineer,Wavestone Morocco,Khouribga,17500 MAD/month,Contract,3-5 years,Bachelor's Degree,"Quality Management, Testing, Auditing, Process Improvement, Six Sigma, Quality Control",Join our dynamic team as a Quality Engineer.,2025-11-09,Generated
Security Engineer,Inwi,Rabat,15500 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Penetration Testing, Encryption, Incident Response, Firewall, Compliance, SIEM",We are looking for a talented Security Engineer to join our growing team.,2025-11-27,Generated
Scrum Master,PwC Morocco,Khouribga,19100 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Coaching, Stakeholder Management, Retrospectives, Facilitation",Exciting opportunity for a Scrum Master in Khouribga.,2025-11-13,Generated
Web Developer,Marsa Maroc,Oujda,5900 MAD/month,Internship,2-5 years,Bachelor's Degree,"MySQL, CSS, WordPress, HTML, Responsive Design",Exciting opportunity for a Web Developer in Oujda.,2025-12-11,Generated
Principal Industrial Engineer,BDO Morocco,Khouribga,26700 MAD/month,Internship,10+ years,Master's Degree,"Supply Chain, Lean Manufacturing, Six Sigma, Production Planning, Cost Analysis",Seeking an experienced Principal Industrial Engineer for innovative projects.,2025-12-20,Generated
Business Analyst,Sqli Morocco,Tangier,17300 MAD/month,Full-time,2-4 years,Master's Degree,"Business Process Modeling, UML, SQL, Power BI, Excel, JIRA",Seeking an experienced Business Analyst for innovative projects.,2025-12-27,Generated
Business Development Manager,Roland Berger,Mohammedia,43300 MAD/month,Full-time,5-8 years,Master's Degree,"Business Development, CRM, Negotiation, Networking",Join our dynamic team as a Business Development Manager.,2025-12-02,Generated
Lead Systems Analyst,ONDA,Agadir,22900 MAD/month,Full-time,8+ years,Bachelor's Degree,"Systems Design, Business Process Analysis, Documentation, UML, Requirements Analysis, Agile",Seeking an experienced Lead Systems Analyst for innovative projects.,2025-12-11,Generated
Mobile Developer,Fujikura Morocco,Marrakech,10200 MAD/month,Part-time,2-4 years,Bachelor's Degree,"iOS, REST API, Android, Flutter",Exciting opportunity for a Mobile Developer in Marrakech.,2025-11-26,Generated
Principal UX/UI Designer,CIH Bank,Oujda,30300 MAD/month,Internship,8+ years,Master's Degree,"Figma, Prototyping, Design Thinking, Usability Testing",Join our dynamic team as a Principal UX/UI Designer.,2025-12-11,Generated
Staff Aerospace Engineer,Société Générale Morocco,Oujda,13400 MAD/month,Full-time,10+ years,Bachelor's Degree,"Testing, MATLAB, CATIA, Systems Engineering",Exciting opportunity for a Staff Aerospace Engineer in Oujda.,2025-12-13,Generated
Lead Product Designer,IBM Morocco,Marrakech,16300 MAD/month,Contract,8+ years,Bachelor's Degree,"Product Design, Design Systems, Prototyping, Interaction Design",We are looking for a talented Lead Product Designer to join our growing team.,2025-11-01,Generated
Product Manager,Huawei Morocco,El Jadida,32700 MAD/month,Full-time,10+ years,Bachelor's Degree,"Roadmap Planning, Analytics, Stakeholder Management, Market Analysis, Communication, Product Strategy",Seeking an experienced Product Manager for innovative projects.,2025-12-22,Generated
Product Manager,ONDA,Tetouan,33000 MAD/month,Full-time,5-8 years,Master's Degree,"Communication, Analytics, User Research, A/B Testing, Stakeholder Management",Join our dynamic team as a Product Manager.,2025-12-14,Generated
Network Engineer,Zodiac Aerospace,Agadir,17500 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Networking, Switching, VPN, TCP/IP",Seeking an experienced Network Engineer for innovative projects.,2025-12-10,Generated
Lead Data Engineer,Unilever Morocco,El Jadida,20600 MAD/month,Contract,8+ years,Master's Degree,"Git, Python, Spark, SQL, Hadoop",Great opportunity for career growth as a Lead Data Engineer.,2025-11-29,Generated
Principal Systems Analyst,ANP Morocco,Beni Mellal,11000 MAD/month,Internship,8+ years,Bachelor's Degree,"SQL, Documentation, Agile, Requirements Analysis, Technical Writing",Join our dynamic team as a Principal Systems Analyst.,2025-11-30,Generated
Financial Analyst,Label'Vie,Oujda,17600 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Financial Modeling, Excel, Budgeting, Power BI, SAP",We are looking for a talented Financial Analyst to join our growing team.,2025-12-03,Generated
Staff Software Engineer,Amendis,Fes,36500 MAD/month,Part-time,8+ years,Bachelor's Degree,"JavaScript, Java, Python, Design Patterns, Agile",Seeking an experienced Staff Software Engineer for innovative projects.,2025-10-31,Generated
Principal Scrum Master,ONCF,El Jadida,12800 MAD/month,Full-time,5-8 years,Master's Degree,"Retrospectives, Agile, Coaching, Scrum",Seeking an experienced Principal Scrum Master for innovative projects.,2025-11-05,Generated
Principal Sales Engineer,DHL Morocco,Tetouan,8000 MAD/month,Internship,8+ years,Bachelor's Degree,"Technical Sales, Product Knowledge, Presentations, Problem Solving, Communication, Technical Documentation",We are looking for a talented Principal Sales Engineer to join our growing team.,2025-11-14,Generated
Account Manager,Thales Morocco,Safi,14200 MAD/month,Full-time,5-8 years,Master's Degree,"CRM, Sales, Strategic Planning, Upselling, Negotiation, Client Relations",We are looking for a talented Account Manager to join our growing team.,2025-11-09,Generated
Senior UX/UI Designer,Alten Morocco,Tetouan,28600 MAD/month,Full-time,5-8 years,Master's Degree,"UI Design, Prototyping, Usability Testing, User Research, Figma",Join our dynamic team as a Senior UX/UI Designer.,2025-12-21,Generated
Web Developer,Airbus Morocco,Casablanca,17500 MAD/month,Full-time,3-5 years,Bachelor's Degree,"HTML, JavaScript, MySQL, jQuery",Join our dynamic team as a Web Developer.,2025-12-22,Generated
Lead Electrical Engineer,Royal Air Maroc,Oujda,19300 MAD/month,Full-time,5-8 years,Bachelor's Degree,"PLC, AutoCAD Electrical, Troubleshooting, Industrial Automation",Exciting opportunity for a Lead Electrical Engineer in Oujda.,2025-12-07,Generated
Sales Engineer,Aubay Morocco,Safi,9600 MAD/month,Part-time,2-4 years,Bachelor's Degree,"Negotiation, Communication, CRM, Technical Sales, Product Knowledge, Client Relationship",Exciting opportunity for a Sales Engineer in Safi.,2025-11-08,Generated
Software Engineer,Afriquia,Tetouan,13600 MAD/month,Internship,2-4 years,Master's Degree,"REST API, Agile, C++, SQL",Exciting opportunity for a Software Engineer in Tetouan.,2025-12-02,Generated
Lead Data Analyst,Lesieur Cristal,Oujda,6000 MAD/month,Internship,5+ years,Master's Degree,"R, Pandas, Data Visualization, SQL",Join our dynamic team as a Lead Data Analyst.,2025-11-28,Generated
Web Developer,Alten Morocco,Marrakech,15500 MAD/month,Contract,2-4 years,Bachelor's Degree,"Bootstrap, Responsive Design, PHP, MySQL, JavaScript, jQuery",Exciting opportunity for a Web Developer in Marrakech.,2025-11-06,Generated
Test Engineer,Transcom Morocco,Safi,21300 MAD/month,Contract,2-4 years,Master's Degree,"Test Automation, Agile, Testing, API Testing, JIRA",We are looking for a talented Test Engineer to join our growing team.,2025-11-16,Generated
Lead DevOps Engineer,Majorel Morocco,El Jadida,23900 MAD/month,Full-time,8+ years,Master's Degree,"Terraform, Kubernetes, CI/CD, Python",Exciting opportunity for a Lead DevOps Engineer in El Jadida.,2025-12-25,Generated
Lead Lab Technician,Amendis,Casablanca,17400 MAD/month,Full-time,5-8 years,Bachelor's Degree,"Quality Control, Data Analysis, Technical Documentation, Laboratory Techniques, Equipment Calibration, Sample Preparation",Exciting opportunity for a Lead Lab Technician in Casablanca.,2025-11-11,Generated
Mechanical Engineer,Fujikura Morocco,Tetouan,12300 MAD/month,Part-time,3-5 years,Bachelor's Degree,"ANSYS, AutoCAD, CAD, GD&T, Project Management",We are looking for a talented Mechanical Engineer to join our growing team.,2025-11-13,Generated
Junior Data Scientist,Bombardier Aerospace,Safi,16900 MAD/month,Full-time,1-3 years,Master's Degree,"SQL, R, Python, Pandas, TensorFlow",Exciting opportunity for a Junior Data Scientist in Safi.,2025-12-08,Generated
Training Specialist,CDG Capital,El Jadida,10100 MAD/month,Part-time,3-5 years,Master's Degree,"Presentation Skills, Training & Development, Communication, Needs Assessment, E-Learning, Curriculum Development",Seeking an experienced Training Specialist for innovative projects.,2025-12-10,Generated
DevOps Engineer,Intelcia,Fes,30100 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Docker, Linux, Terraform, Python, Git",Seeking an experienced DevOps Engineer for innovative projects.,2025-12-07,Generated
Junior Project Manager,Roland Berger,Khouribga,7400 MAD/month,Part-time,1-3 years,Master's Degree,"Budgeting, Scrum, Risk Management, Agile, Project Management",Seeking an experienced Junior Project Manager for innovative projects.,2025-12-26,Generated
Database Administrator,Stellantis Morocco,Kenitra,7900 MAD/month,Internship,3-5 years,Bachelor's Degree,"MySQL, Oracle, Monitoring, Backup & Recovery",Great opportunity for career growth as a Database Administrator.,2025-12-27,Generated
Risk Analyst,Ericsson Morocco,Rabat,12600 MAD/month,Part-time,2-5 years,Master's Degree,"Statistics, Audit, Data Analysis, Reporting, Compliance",Exciting opportunity for a Risk Analyst in Rabat.,2025-12-19,Generated
Junior Network Engineer,Afriquia,Beni Mellal,7600 MAD/month,Full-time,0-1 years,Bachelor's Degree,"Switching, Firewall, CCNA, TCP/IP, Networking, Routing",We are looking for a talented Junior Network Engineer to join our growing team.,2025-12-06,Generated
Junior Lab Technician,Safran Morocco,Casablanca,17000 MAD/month,Full-time,0-1 years,Bachelor's Degree,"Data Analysis, Equipment Calibration, Sample Preparation, Quality Control",We are looking for a talented Junior Lab Technician to join our growing team.,2025-11-26,Generated
Backend Developer,ONDA,Beni Mellal,22000 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Redis, Docker, REST API, SQL, Microservices",Join our dynamic team as a Backend Developer.,2025-11-16,Generated
Cloud Engineer,Ericsson Morocco,Mohammedia,19400 MAD/month,Part-time,3-5 years,Bachelor's Degree,"Kubernetes, Python, Cloud Security, GCP",Seeking an experienced Cloud Engineer for innovative projects.,2025-12-08,Generated
Automotive Engineer,Label'Vie,Khouribga,20100 MAD/month,Full-time,3-5 years,Master's Degree,"CATIA, Automotive Design, Testing, Manufacturing",Seeking an experienced Automotive Engineer for innovative projects.,2025-12-17,Generated
Senior Mobile Developer,Fujikura Morocco,Safi,18700 MAD/month,Internship,5-8 years,Bachelor's Degree,"Kotlin, REST API, React Native, Mobile UI, Firebase",We are looking for a talented Senior Mobile Developer to join our growing team.,2025-11-15,Generated
Senior Database Administrator,Alten Morocco,Mohammedia,15700 MAD/month,Contract,8+ years,Bachelor's Degree,"Security, Replication, Performance Tuning, Backup & Recovery, Monitoring, MySQL",Join our dynamic team as a Senior Database Administrator.,2025-11-07,Generated
Staff Mechanical Engineer,CTM Morocco,Beni Mellal,15300 MAD/month,Contract,5-8 years,Bachelor's Degree,"Mechanical Design, CAD, Materials Science, Thermodynamics, Project Management",We are looking for a talented Staff Mechanical Engineer to join our growing team.,2025-12-11,Generated
Training Specialist,Altran Morocco,Marrakech,7800 MAD/month,Part-time,2-5 years,Bachelor's Degree,"Needs Assessment, Presentation Skills, Instructional Design, Training & Development, Communication",Great opportunity for career growth as a Training Specialist.,2025-12-08,Generated
Senior Business Development Manager,Boeing Morocco,Rabat,73400 MAD/month,Contract,8+ years,Master's Degree,"Networking, Client Relations, Negotiation, Business Development, Market Analysis",Great opportunity for career growth as a Senior Business Development Manager.,2025-11-11,Generated
Staff Business Analyst,Collins Aerospace,Tetouan,6400 MAD/month,Internship,8+ years,Bachelor's Degree,"Power BI, JIRA, Agile, Requirements Analysis, Excel, SQL",We are looking for a talented Staff Business Analyst to join our growing team.,2025-12-12,Generated
Data Analyst,BDO Morocco,Oujda,19200 MAD/month,Contract,3-5 years,Bachelor's Degree,"Excel, Power BI, Statistics, Pandas, Python",Seeking an experienced Data Analyst for innovative projects.,2025-12-08,Generated
Principal Training Specialist,FedEx Morocco,Kenitra,13400 MAD/month,Full-time,5-8 years,Bachelor's Degree,"Presentation Skills, Training & Development, Instructional Design, Evaluation, Curriculum Development, Communication",Great opportunity for career growth as a Principal Training Specialist.,2025-11-03,Generated
Staff Business Development Manager,Marjane,Tetouan,17800 MAD/month,Part-time,8+ years,Master's Degree,"Communication, Networking, Market Analysis, CRM",Great opportunity for career growth as a Staff Business Development Manager.,2025-12-04,Generated
Technical Manager,Bank Al-Maghrib,Casablanca,24900 MAD/month,Full-time,8+ years,Master's Degree,"Communication, Budgeting, Team Management, System Architecture, Mentoring, Leadership",We are looking for a talented Technical Manager to join our growing team.,2025-12-18,Generated
Data Scientist,Label'Vie,Agadir,12500 MAD/month,Internship,2-4 years,Master's Degree,"Statistics, Pandas, Data Analysis, R, SQL",Exciting opportunity for a Data Scientist in Agadir.,2025-12-16,Generated
Electronics Technician,ONDA,El Jadida,7700 MAD/month,Contract,2-4 years,Diploma,"Testing, Troubleshooting, Embedded Systems, Circuit Analysis, Electronics",Exciting opportunity for a Electronics Technician in El Jadida.,2025-11-30,Generated
Web Developer,Label'Vie,Kenitra,17600 MAD/month,Full-time,3-5 years,Bachelor's Degree,"jQuery, HTML, Responsive Design, PHP, Bootstrap",We are looking for a talented Web Developer to join our growing team.,2025-11-24,Generated
Scrum Master,Eaton Aerospace,Safi,22500 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Facilitation, Team Leadership, Sprint Planning, JIRA",Join our dynamic team as a Scrum Master.,2025-12-28,Generated
Maintenance Technician,Nexans Morocco,Rabat,6500 MAD/month,Part-time,2-4 years,Diploma,"Troubleshooting, Equipment Repair, Safety Procedures, Mechanical Systems, Preventive Maintenance, Hydraulics",Seeking an experienced Maintenance Technician for innovative projects.,2025-11-05,Generated
Systems Engineer,Leoni Morocco,Kenitra,5800 MAD/month,Internship,2-4 years,Master's Degree,"Windows Server, Linux, VMware, Networking, Troubleshooting, Scripting",We are looking for a talented Systems Engineer to join our growing team.,2025-12-26,Generated
Junior Web Developer,Dell Technologies,Oujda,6200 MAD/month,Part-time,1-3 years,Bachelor's Degree,"JavaScript, Responsive Design, PHP, Git, Bootstrap",Join our dynamic team as a Junior Web Developer.,2025-11-19,Generated
Senior Security Engineer,Sqli Morocco,Rabat,16300 MAD/month,Contract,5+ years,Bachelor's Degree,"Compliance, SIEM, Linux, Penetration Testing, Network Security",Seeking an experienced Senior Security Engineer for innovative projects.,2025-12-09,Generated
Chemical Engineer,Altran Morocco,Marrakech,22600 MAD/month,Contract,2-4 years,Master's Degree,"Materials Science, Plant Design, Troubleshooting, Chemical Processes",Seeking an experienced Chemical Engineer for innovative projects.,2025-11-03,Generated
Principal Training Specialist,BMCE Bank,Beni Mellal,18900 MAD/month,Full-time,10+ years,Master's Degree,"Communication, Evaluation, Curriculum Development, Training & Development, Presentation Skills, Facilitation",Exciting opportunity for a Principal Training Specialist in Beni Mellal.,2025-11-23,Generated
Product Designer,BNP Paribas Morocco,Rabat,19100 MAD/month,Full-time,2-5 years,Master's Degree,"Interaction Design, User Research, Figma, Design Systems, UX Design, Product Design",Seeking an experienced Product Designer for innovative projects.,2025-12-13,Generated
Operations Manager,AXA Morocco,Khouribga,13700 MAD/month,Full-time,5-8 years,Bachelor's Degree,"Strategic Planning, Budgeting, Team Management, KPI Management",Seeking an experienced Operations Manager for innovative projects.,2025-12-12,Generated
Staff Industrial Engineer,Transcom Morocco,Oujda,7200 MAD/month,Part-time,8+ years,Bachelor's Degree,"Quality Control, Cost Analysis, Lean Manufacturing, Six Sigma",Exciting opportunity for a Staff Industrial Engineer in Oujda.,2025-11-01,Generated
IT Technician,Valeo Morocco,Marrakech,4800 MAD/month,Internship,2-5 years,Diploma,"Troubleshooting, Maintenance, Technical Support, Active Directory, Help Desk, Linux",Seeking an experienced IT Technician for innovative projects.,2025-12-07,Generated
Principal Account Manager,Nestlé Morocco,Rabat,21600 MAD/month,Contract,10+ years,Bachelor's Degree,"Account Management, Client Relations, Strategic Planning, Negotiation, Problem Solving",Great opportunity for career growth as a Principal Account Manager.,2025-12-19,Generated
Quality Engineer,Marjane,Tangier,11900 MAD/month,Full-time,2-4 years,Master's Degree,"Testing, Documentation, Statistical Analysis, Quality Management, Auditing",Exciting opportunity for a Quality Engineer in Tangier.,2025-11-13,Generated
Senior Risk Analyst,ABB Morocco,Mohammedia,24100 MAD/month,Contract,5-8 years,Master's Degree,"Statistics, SQL, Audit, Compliance, Data Analysis, Excel",Join our dynamic team as a Senior Risk Analyst.,2025-12-02,Generated
Staff Data Engineer,Lear Corporation,Agadir,26300 MAD/month,Full-time,10+ years,Bachelor's Degree,"Git, AWS, Hadoop, PostgreSQL, Data Modeling, Airflow",Exciting opportunity for a Staff Data Engineer in Agadir.,2025-12-13,Generated
Senior Electrical Engineer,Amendis,Khouribga,41800 MAD/month,Full-time,8+ years,Master's Degree,"Circuit Design, AutoCAD Electrical, Control Systems, Industrial Automation",Great opportunity for career growth as a Senior Electrical Engineer.,2025-12-15,Generated
Data Engineer,ONCF,Tangier,13200 MAD/month,Part-time,3-5 years,Bachelor's Degree,"AWS, ETL, Spark, PostgreSQL",We are looking for a talented Data Engineer to join our growing team.,2025-11-17,Generated
